1,4307963801390519709144655280397273600101470947265625
1,9216340378667293720127418055199086666107177734375
-9,0963044270006552238783115171827375888824462890625
9,558318266835012622095746337436139583587646484375
-5,685923235072511516818849486298859119415283203125
-0,613163419403850440403402899391949176788330078125
-6,48709026950312850345881088287569582462310791015625
-0,55259339986668198907437954403576441109180450439453125
-1,967245956628293601653467703727073967456817626953125
-11,107307158744536224048715666867792606353759765625
-9,889336583297644978074458776973187923431396484375
2,21874075301251227898546858341433107852935791015625
10,640872537898065530725943972356617450714111328125
-0,0992438535203437055542963207699358463287353515625
2,12070113190651721168933363514952361583709716796875
2,48963667995281667799645219929516315460205078125
-5,71861697728812945484833107911981642246246337890625
-9,2993798342038136439668960520066320896148681640625
1,3279311646966049931251063753734342753887176513671875
-0,1587771462247105913601075144470087252557277679443359375
-0,75164265895946946738348515282268635928630828857421875
-5,33129168489700422384203193360008299350738525390625
-9,1670445529089850111859050230123102664947509765625
11,5108832506788161254007718525826930999755859375
3,927677084055333889267558333813212811946868896484375
1,61905204168119354335431125946342945098876953125
11,197032451107286732394641148857772350311279296875
-5,3553261918709029743013161350972950458526611328125
-0,128169844847642877549986906160484068095684051513671875
9,241282306215371278312886715866625308990478515625
-5,7311622721305628402888032724149525165557861328125
-9,0534237934770178668486551032401621341705322265625
-5,697941036346517051924820407293736934661865234375
-8,607160084710354652770547545515000820159912109375
-5,20863408428207907974183399346657097339630126953125
-0,036769423967614532633430002306340611539781093597412109375
-9,8877045378318992874255854985676705837249755859375
9,7547610514529168312947149388492107391357421875
-4,83347817784770139581951298168860375881195068359375
0,430396590879128126960750932994415052235126495361328125
2,081590655586731397619359995587728917598724365234375
2,17022096391086716238305598380975425243377685546875
-7,01131160371024719779597944580018520355224609375
11,015782943635198165566180250607430934906005859375
0,76244293149983788371315540643990971148014068603515625
-9,160402576118105599789487314410507678985595703125
-1,0663073035290777657024818836362101137638092041015625
2,51384749440635602013571769930422306060791015625
1,990704469186605596320305266999639570713043212890625
-5,1434768687044769563954105251468718051910400390625
9,60190273526117010760572156868875026702880859375
11,4122227193846104142949116067029535770416259765625
9,0400988730381612867859075777232646942138671875
-0,0530087811681189957635496057264390401542186737060546875
3,59649353470985744252175209112465381622314453125
-5,2871250820382602597646837239153683185577392578125
